property_id,location,property_type,bedrooms,bathrooms,area_sqft,price_lakhs,price_per_sqft,year_built,property_age,status,furnishing,parking,city,date_listed,date_sold,days_on_market,listing_month,listing_quarter,listing_year
1,Yelahanka,Villa,2,2,1905,97.42,5113.91,2008,16,Available,Unfurnished,2,Bangalore,2023-02-13,,,2,1,2023
2,Indiranagar,Independent House,2,3,3991,81.54,2043.1,2022,2,Sold,Semi-Furnished,0,Bangalore,2023-04-16,2023-08-10,116.0,4,2,2023
3,Whitefield,Independent House,4,2,2361,101.19,4285.9,2008,16,Under Negotiation,Unfurnished,1,Bangalore,2022-12-13,,,12,4,2022
4,Yelahanka,Independent House,2,2,2575,123.08,4779.81,2019,5,Under Negotiation,Furnished,1,Bangalore,2023-04-07,,,4,2,2023
5,Whitefield,Independent House,4,2,2962,79.15,2672.18,2021,3,Sold,Unfurnished,1,Bangalore,2022-03-02,2022-08-19,170.0,3,1,2022
6,BTM Layout,Apartment,2,2,1476,79.15,5362.47,1998,26,Available,Unfurnished,1,Bangalore,2022-06-15,,,6,2,2022
7,BTM Layout,Villa,3,1,2589,124.48,4808.03,2020,4,Sold,Furnished,2,Bangalore,2023-11-03,2024-03-27,145.0,11,4,2023
8,BTM Layout,Independent House,1,1,1912,104.19,5449.27,2009,15,Under Negotiation,Unfurnished,1,Bangalore,2022-05-31,,,5,2,2022
9,Hebbal,Apartment,3,3,2060,73.26,3556.31,1997,27,Sold,Unfurnished,2,Bangalore,2022-04-21,2022-05-11,20.0,4,2,2022
10,Hebbal,Apartment,1,1,3309,98.56,2978.54,1999,25,Sold,Semi-Furnished,2,Bangalore,2023-05-03,2023-06-09,37.0,5,2,2023
11,Indiranagar,Apartment,4,1,2924,73.41,2510.6,1995,29,Sold,Semi-Furnished,2,Bangalore,2023-07-03,2023-11-29,149.0,7,3,2023
12,BTM Layout,Independent House,3,3,2333,73.36,3144.45,1997,27,Sold,Furnished,1,Bangalore,2022-01-03,2022-05-17,134.0,1,1,2022
13,Yelahanka,Independent House,2,3,2205,91.05,4129.25,2009,15,Sold,Furnished,0,Bangalore,2023-04-28,2023-07-12,75.0,4,2,2023
14,Whitefield,Villa,1,3,2126,37.17,1748.35,2018,6,Available,Furnished,0,Bangalore,2022-01-13,,,1,1,2022
15,Electronic City,Independent House,1,1,3271,41.88,1280.34,2021,3,Sold,Semi-Furnished,1,Bangalore,2022-06-11,2022-10-03,114.0,6,2,2022
16,Yelahanka,Independent House,3,1,3163,70.94,2242.81,2002,22,Sold,Furnished,0,Bangalore,2022-12-10,2023-02-27,79.0,12,4,2022
17,Hebbal,Apartment,4,3,3490,59.68,1710.03,2023,1,Sold,Furnished,0,Bangalore,2023-03-25,2023-08-20,148.0,3,1,2023
18,Hebbal,Villa,3,2,2997,92.86,3098.43,1998,26,Sold,Furnished,2,Bangalore,2022-11-28,2023-01-05,38.0,11,4,2022
19,Yelahanka,Independent House,4,3,2230,62.3,2793.72,1996,28,Sold,Semi-Furnished,2,Bangalore,2022-09-21,2022-11-11,51.0,9,3,2022
20,Hebbal,Independent House,4,2,3470,49.69,1431.99,2023,1,Available,Unfurnished,1,Bangalore,2022-03-24,,,3,1,2022
21,BTM Layout,Apartment,1,2,1760,121.64,6911.36,2018,6,Sold,Furnished,1,Bangalore,2022-11-30,2023-01-28,59.0,11,4,2022
22,Indiranagar,Apartment,3,3,1358,79.36,5843.89,2018,6,Sold,Unfurnished,0,Bangalore,2023-01-15,2023-05-09,114.0,1,1,2023
23,Whitefield,Independent House,3,3,3546,86.69,2444.73,2004,20,Sold,Furnished,2,Bangalore,2022-08-07,2022-12-01,116.0,8,3,2022
24,Indiranagar,Villa,4,3,842,49.38,5864.61,1998,26,Sold,Unfurnished,1,Bangalore,2023-10-20,2024-01-05,77.0,10,4,2023
25,Whitefield,Villa,3,1,3190,71.39,2237.93,1997,27,Available,Semi-Furnished,1,Bangalore,2023-03-30,,,3,1,2023
26,Whitefield,Apartment,2,2,1663,87.77,5277.81,1996,28,Sold,Semi-Furnished,1,Bangalore,2023-11-04,2023-12-17,43.0,11,4,2023
27,Indiranagar,Apartment,2,1,828,56.23,6791.06,2019,5,Sold,Furnished,1,Bangalore,2022-03-30,2022-07-23,115.0,3,1,2022
28,Yelahanka,Independent House,3,1,3195,94.39,2954.3,2011,13,Sold,Unfurnished,1,Bangalore,2022-11-29,2023-04-01,123.0,11,4,2022
29,Whitefield,Apartment,3,3,1519,69.98,4606.98,2017,7,Sold,Semi-Furnished,1,Bangalore,2022-11-06,2023-02-24,110.0,11,4,2022
30,Indiranagar,Independent House,4,1,1846,77.71,4209.64,2015,9,Sold,Furnished,0,Bangalore,2023-12-28,2024-06-12,167.0,12,4,2023
31,Whitefield,Villa,2,3,605,69.96,11563.64,2018,6,Sold,Furnished,2,Bangalore,2023-02-24,2023-03-20,24.0,2,1,2023
32,Electronic City,Villa,2,2,3993,131.31,3288.5,2014,10,Available,Semi-Furnished,2,Bangalore,2023-09-01,,,9,3,2023
33,Yelahanka,Independent House,1,3,1067,84.66,7934.4,2017,7,Sold,Semi-Furnished,1,Bangalore,2023-12-26,2024-02-13,49.0,12,4,2023
34,BTM Layout,Apartment,4,1,2355,58.56,2486.62,2007,17,Sold,Furnished,2,Bangalore,2022-12-20,2023-02-27,69.0,12,4,2022
35,Whitefield,Villa,1,1,674,105.56,15661.72,1999,25,Sold,Unfurnished,2,Bangalore,2022-04-10,2022-09-24,167.0,4,2,2022
36,Electronic City,Apartment,2,3,603,54.48,9034.83,2024,0,Sold,Unfurnished,2,Bangalore,2022-05-25,2022-09-12,110.0,5,2,2022
37,BTM Layout,Villa,4,3,2470,90.22,3652.63,2015,9,Sold,Unfurnished,1,Bangalore,2022-01-10,2022-05-27,137.0,1,1,2022
38,BTM Layout,Independent House,3,1,1245,36.01,2892.37,2024,0,Available,Furnished,1,Bangalore,2022-02-13,,,2,1,2022
39,Whitefield,Independent House,4,2,717,51.8,7224.55,2003,21,Available,Semi-Furnished,2,Bangalore,2023-01-21,,,1,1,2023
40,Indiranagar,Independent House,3,2,3528,89.92,2548.75,2019,5,Sold,Furnished,2,Bangalore,2023-05-10,2023-06-05,26.0,5,2,2023
41,Whitefield,Villa,3,3,2229,103.46,4641.54,2023,1,Sold,Semi-Furnished,1,Bangalore,2023-05-08,2023-05-26,18.0,5,2,2023
