price_lakhs,area_sqft,bedrooms,bathrooms,location,property_type,furnishing,parking,year_built,city,property_age,age_decade,is_new_build,area_per_bedroom,bath_to_bed_ratio,price_per_sqft,size_category,price_segment,value_score,has_parking,amenity_score,city_tier,city_avg_price,location_price_rank
77.64,606,1,1,Bandra,Apartment,Unfurnished,1,2010,Mumbai,16,2010,0,606.0,1.0,12811.88,Compact,Mid-Range,7.81,1,1.0,1,145.65,2
96.57,1998,4,5,Koramangala,Villa,Unfurnished,2,2021,Bangalore,5,2020,1,499.5,1.25,4833.33,Large,Mid-Range,20.69,1,2.0,1,84.53,9
77.43,2351,4,4,Viman Nagar,Independent House,Unfurnished,1,2018,Pune,8,2010,1,587.8,1.0,3293.49,Large,Mid-Range,30.36,1,1.0,2,72.89,20
100.1,3054,3,3,Porur,Villa,Unfurnished,1,2022,Chennai,4,2020,1,1018.0,1.0,3277.67,Extra Large,Premium,30.51,1,1.0,2,71.75,37
61.22,1780,2,2,Tambaram,Villa,Semi-Furnished,2,2024,Chennai,2,2020,1,890.0,1.0,3439.33,Medium,Mid-Range,29.08,1,2.5,2,71.75,40
36.23,1398,4,4,Tambaram,Villa,Unfurnished,1,1996,Chennai,30,1990,0,349.5,1.0,2591.56,Medium,Affordable,38.59,1,1.0,2,71.75,40
54.66,1819,3,4,Porur,Independent House,Unfurnished,0,2021,Chennai,5,2020,1,606.3,1.33,3004.95,Large,Mid-Range,33.28,0,0.0,2,71.75,37
240.26,2922,2,1,Powai,Villa,Unfurnished,0,2012,Mumbai,14,2010,0,1461.0,0.5,8222.45,Extra Large,Luxury,12.16,0,0.0,1,145.65,4
93.76,2447,2,2,BTM Layout,Independent House,Unfurnished,1,2018,Bangalore,8,2010,1,1223.5,1.0,3831.63,Large,Mid-Range,26.1,1,1.0,1,84.53,14
107.58,2909,2,2,Baner,Villa,Furnished,2,2012,Pune,14,2010,0,1454.5,1.0,3698.18,Extra Large,Premium,27.04,1,3.0,2,72.89,30
103.27,2046,3,3,Whitefield,Apartment,Unfurnished,1,2016,Bangalore,10,2010,0,682.0,1.0,5047.41,Large,Premium,19.81,1,1.0,1,84.53,11
51.94,1539,1,2,OMR,Villa,Furnished,2,1995,Chennai,31,1990,0,1539.0,2.0,3374.92,Medium,Mid-Range,29.63,1,3.0,2,71.75,29
89.8,2537,3,4,Sholinganallur,Villa,Furnished,1,2004,Chennai,22,2000,0,845.7,1.33,3539.61,Large,Mid-Range,28.25,1,2.0,2,71.75,27
119.69,3169,2,2,Kukatpally,Independent House,Unfurnished,2,2024,Hyderabad,2,2020,1,1584.5,1.0,3776.9,Extra Large,Premium,26.48,1,2.0,2,76.19,24
85.84,1610,3,3,Whitefield,Apartment,Furnished,2,2020,Bangalore,6,2020,1,536.7,1.0,5331.68,Medium,Mid-Range,18.76,1,3.0,1,84.53,11
76.2,1237,2,2,Hebbal,Apartment,Furnished,1,2019,Bangalore,7,2010,1,618.5,1.0,6160.06,Medium,Mid-Range,16.23,1,2.0,1,84.53,18
113.11,2807,4,5,Begumpet,Villa,Furnished,1,2003,Hyderabad,23,2000,0,701.8,1.25,4029.57,Extra Large,Premium,24.82,1,2.0,2,76.19,35
79.31,1121,1,2,Whitefield,Apartment,Semi-Furnished,1,2024,Bangalore,2,2020,1,1121.0,2.0,7074.93,Medium,Mid-Range,14.13,1,1.5,1,84.53,11
111.1,3128,4,5,Baner,Independent House,Semi-Furnished,1,2017,Pune,9,2010,0,782.0,1.25,3551.79,Extra Large,Premium,28.15,1,1.5,2,72.89,30
156.29,2483,2,3,Andheri,Villa,Furnished,1,1997,Mumbai,29,1990,0,1241.5,1.5,6294.4,Large,Luxury,15.89,1,2.0,1,145.65,3
64.11,1290,2,2,Kondapur,Apartment,Furnished,1,2017,Hyderabad,9,2010,0,645.0,1.0,4969.77,Medium,Mid-Range,20.12,1,2.0,2,76.19,32
77.44,2005,2,2,Pimpri,Villa,Unfurnished,1,2017,Pune,9,2010,0,1002.5,1.0,3862.34,Large,Mid-Range,25.89,1,1.0,2,72.89,39
109.34,1016,2,2,Powai,Apartment,Semi-Furnished,2,2010,Mumbai,16,2010,0,508.0,1.0,10761.81,Medium,Premium,9.29,1,2.5,1,145.65,4
68.06,2098,2,2,T Nagar,Apartment,Semi-Furnished,1,1999,Chennai,27,1990,0,1049.0,1.0,3244.04,Large,Mid-Range,30.83,1,1.5,2,71.75,36
135.33,1637,2,3,Andheri,Apartment,Unfurnished,0,2009,Mumbai,17,2000,0,818.5,1.5,8266.95,Medium,Premium,12.1,0,0.0,1,145.65,3
76.78,1083,4,4,Whitefield,Apartment,Furnished,0,1996,Bangalore,30,1990,0,270.8,1.0,7089.57,Medium,Mid-Range,14.11,0,1.0,1,84.53,11
77.24,1977,2,2,Sholinganallur,Apartment,Unfurnished,2,2002,Chennai,24,2000,0,988.5,1.0,3906.93,Large,Mid-Range,25.6,1,2.0,2,71.75,27
40.73,1136,3,4,Velachery,Apartment,Unfurnished,2,2010,Chennai,16,2010,0,378.7,1.33,3585.39,Medium,Affordable,27.89,1,2.0,2,71.75,33
78.18,2070,4,5,Kondapur,Apartment,Unfurnished,0,2020,Hyderabad,6,2020,1,517.5,1.25,3776.81,Large,Mid-Range,26.48,0,0.0,2,76.19,32
113.75,2620,3,3,Whitefield,Villa,Unfurnished,2,2000,Bangalore,26,2000,0,873.3,1.0,4341.6,Large,Premium,23.03,1,2.0,1,84.53,11
42.56,1026,1,1,LB Nagar,Apartment,Furnished,1,2009,Hyderabad,17,2000,0,1026.0,1.0,4148.15,Medium,Affordable,24.11,1,2.0,2,76.19,38
32.11,500,3,3,Adyar,Apartment,Semi-Furnished,1,2021,Chennai,5,2020,1,166.7,1.0,6422.0,Compact,Affordable,15.57,1,1.5,2,71.75,21
57.82,1472,3,2,Hitech City,Apartment,Semi-Furnished,2,2024,Hyderabad,2,2020,1,490.7,0.67,3927.99,Medium,Mid-Range,25.46,1,2.5,2,76.19,17
64.23,1609,2,2,Sholinganallur,Independent House,Unfurnished,1,2011,Chennai,15,2010,0,804.5,1.0,3991.92,Medium,Mid-Range,25.05,1,1.0,2,71.75,27
109.83,3983,2,2,Tambaram,Villa,Furnished,0,2009,Chennai,17,2000,0,1991.5,1.0,2757.47,Extra Large,Premium,36.27,0,1.0,2,71.75,40
104.74,2586,1,1,Electronic City,Independent House,Semi-Furnished,2,2016,Bangalore,10,2010,0,2586.0,1.0,4050.27,Large,Premium,24.69,1,2.5,1,84.53,10
41.11,500,1,1,Kothrud,Apartment,Furnished,2,2012,Pune,14,2010,0,500.0,1.0,8222.0,Compact,Affordable,12.16,1,3.0,2,72.89,31
103.58,2834,3,3,Porur,Independent House,Unfurnished,0,2021,Chennai,5,2020,1,944.7,1.0,3654.9,Extra Large,Premium,27.36,0,0.0,2,71.75,37
70.11,2240,4,3,Sholinganallur,Independent House,Unfurnished,1,2008,Chennai,18,2000,0,560.0,0.75,3129.91,Large,Mid-Range,31.95,1,1.0,2,71.75,27
110.79,2205,4,5,Koramangala,Apartment,Unfurnished,2,2021,Bangalore,5,2020,1,551.2,1.25,5024.49,Large,Premium,19.9,1,2.0,1,84.53,9
104.77,2022,1,2,Koramangala,Independent House,Semi-Furnished,1,2014,Bangalore,12,2010,0,2022.0,2.0,5181.5,Large,Premium,19.3,1,1.5,1,84.53,9
61.3,975,1,1,Navi Mumbai,Apartment,Furnished,2,2007,Mumbai,19,2000,0,975.0,1.0,6287.18,Compact,Mid-Range,15.91,1,3.0,1,145.65,8
98.37,2388,1,2,Indiranagar,Villa,Semi-Furnished,1,2000,Bangalore,26,2000,0,2388.0,2.0,4119.35,Large,Mid-Range,24.28,1,1.5,1,84.53,12
67.58,1595,2,2,Madhapur,Apartment,Furnished,2,2009,Hyderabad,17,2000,0,797.5,1.0,4236.99,Medium,Mid-Range,23.6,1,3.0,2,76.19,26
112.31,2933,4,3,Baner,Villa,Semi-Furnished,2,2016,Pune,10,2010,0,733.2,0.75,3829.19,Extra Large,Premium,26.12,1,2.5,2,72.89,30
88.84,2259,1,1,Kondapur,Independent House,Furnished,1,2012,Hyderabad,14,2010,0,2259.0,1.0,3932.71,Large,Mid-Range,25.43,1,2.0,2,76.19,32
123.11,3057,1,1,Banjara Hills,Independent House,Furnished,1,2006,Hyderabad,20,2000,0,3057.0,1.0,4027.15,Extra Large,Premium,24.83,1,2.0,2,76.19,15
70.14,1986,1,1,Begumpet,Apartment,Unfurnished,2,2012,Hyderabad,14,2010,0,1986.0,1.0,3531.72,Large,Mid-Range,28.31,1,2.0,2,76.19,35
72.02,1716,3,3,Electronic City,Independent House,Furnished,1,2004,Bangalore,22,2000,0,572.0,1.0,4196.97,Medium,Mid-Range,23.83,1,2.0,1,84.53,10
136.08,3506,1,1,Koregaon Park,Independent House,Semi-Furnished,1,2010,Pune,16,2010,0,3506.0,1.0,3881.35,Extra Large,Premium,25.76,1,1.5,2,72.89,23
106.85,3071,1,1,Kothrud,Independent House,Furnished,1,2023,Pune,3,2020,1,3071.0,1.0,3479.32,Extra Large,Premium,28.74,1,2.0,2,72.89,31
65.45,976,2,3,JP Nagar,Independent House,Furnished,0,2010,Bangalore,16,2010,0,488.0,1.5,6705.94,Compact,Mid-Range,14.91,0,1.0,1,84.53,13
89.03,2404,1,1,Koregaon Park,Villa,Semi-Furnished,1,2000,Pune,26,2000,0,2404.0,1.0,3703.41,Large,Mid-Range,27.0,1,1.5,2,72.89,23
75.77,1962,3,2,Yelahanka,Independent House,Furnished,1,2011,Bangalore,15,2010,0,654.0,0.67,3861.88,Large,Mid-Range,25.89,1,2.0,1,84.53,19
39.71,665,4,4,OMR,Apartment,Furnished,2,2013,Chennai,13,2010,0,166.2,1.0,5971.43,Compact,Affordable,16.75,1,3.0,2,71.75,29
124.95,1006,3,4,Worli,Apartment,Semi-Furnished,1,2016,Mumbai,10,2010,0,335.3,1.33,12420.48,Medium,Premium,8.05,1,1.5,1,145.65,1
